"","var","coef","se","model"
"(Intercept)","(Intercept)",-16.7233445170916,5.39150456656709,"nearest"
"gdppc.gap.ln_l","gdppc.gap.ln_l",3.7325842388506,1.25411491574333,"nearest"
"I(gdppc.gap.ln_l^2)","I(gdppc.gap.ln_l^2)",-0.214183448631561,0.0723221243150731,"nearest"
"(Intercept)1","(Intercept)",-17.0384292706392,5.45710950321943,"optimal"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",3.81130628579245,1.2707598997433,"optimal"
"I(gdppc.gap.ln_l^2)1","I(gdppc.gap.ln_l^2)",-0.21900348289663,0.0733541660283573,"optimal"
"(Intercept)2","(Intercept)",-17.2593789573859,5.44414747992429,"nearest"
"gdppc.gap.ln_l2","gdppc.gap.ln_l",3.84735547842913,1.26694113608204,"nearest"
"I(gdppc.gap.ln_l^2)2","I(gdppc.gap.ln_l^2)",-0.220206524358768,0.0730897452754158,"nearest"
"(Intercept)11","(Intercept)",-17.6233095710071,5.46333492802182,"optimal"
"gdppc.gap.ln_l11","gdppc.gap.ln_l",3.93853793037137,1.27215860706948,"optimal"
"I(gdppc.gap.ln_l^2)11","I(gdppc.gap.ln_l^2)",-0.225797502287876,0.0734315412350987,"optimal"
"(Intercept)3","(Intercept)",-17.1899550011343,5.41435352059037,"nearest"
"gdppc.gap.ln_l3","gdppc.gap.ln_l",3.83087805159116,1.25689915960137,"nearest"
"I(gdppc.gap.ln_l^2)3","I(gdppc.gap.ln_l^2)",-0.219242520574738,0.0723384824829729,"nearest"
"(Intercept)12","(Intercept)",-16.940148218124,5.39383111395972,"optimal"
"gdppc.gap.ln_l12","gdppc.gap.ln_l",3.77606129673705,1.25265143307388,"optimal"
"I(gdppc.gap.ln_l^2)12","I(gdppc.gap.ln_l^2)",-0.216285114155685,0.0721276010207118,"optimal"
"(Intercept)4","(Intercept)",-16.3357782435446,5.62940129440594,"nearest"
"gdppc.gap.ln_l4","gdppc.gap.ln_l",3.62534689769552,1.31202235223521,"nearest"
"I(gdppc.gap.ln_l^2)4","I(gdppc.gap.ln_l^2)",-0.207093937557907,0.0757895181003206,"nearest"
"(Intercept)13","(Intercept)",-16.295553562564,5.66742784660396,"optimal"
"gdppc.gap.ln_l13","gdppc.gap.ln_l",3.61627088716963,1.32129815794618,"optimal"
"I(gdppc.gap.ln_l^2)13","I(gdppc.gap.ln_l^2)",-0.206592083698889,0.0763466840541717,"optimal"
"(Intercept)5","(Intercept)",-17.4903751588189,5.47128503873904,"nearest"
"gdppc.gap.ln_l5","gdppc.gap.ln_l",3.91330648785316,1.27512496420104,"nearest"
"I(gdppc.gap.ln_l^2)5","I(gdppc.gap.ln_l^2)",-0.224670223035589,0.0736602090461811,"nearest"
"(Intercept)14","(Intercept)",-18.0452382105761,5.3743346440697,"optimal"
"gdppc.gap.ln_l14","gdppc.gap.ln_l",4.04824662835016,1.25260989658133,"optimal"
"I(gdppc.gap.ln_l^2)14","I(gdppc.gap.ln_l^2)",-0.232718500574389,0.0723699575930382,"optimal"
"(Intercept)6","(Intercept)",-16.9546446049291,5.57950832391595,"nearest"
"gdppc.gap.ln_l6","gdppc.gap.ln_l",3.77087032281679,1.29943023584193,"nearest"
"I(gdppc.gap.ln_l^2)6","I(gdppc.gap.ln_l^2)",-0.215519114131926,0.0750090159850314,"nearest"
"(Intercept)15","(Intercept)",-17.0405608209506,5.55715240746149,"optimal"
"gdppc.gap.ln_l15","gdppc.gap.ln_l",3.79008948133968,1.29396575049669,"optimal"
"I(gdppc.gap.ln_l^2)15","I(gdppc.gap.ln_l^2)",-0.216574682462471,0.0746820059580105,"optimal"
"(Intercept)7","(Intercept)",-17.9180360649738,5.35855105010513,"nearest"
"gdppc.gap.ln_l7","gdppc.gap.ln_l",4.01248427471267,1.24725956542291,"nearest"
"I(gdppc.gap.ln_l^2)7","I(gdppc.gap.ln_l^2)",-0.230322097233446,0.071965458370708,"nearest"
"(Intercept)16","(Intercept)",-17.8012754875915,5.39969901736877,"optimal"
"gdppc.gap.ln_l16","gdppc.gap.ln_l",3.98636876199899,1.25794289203719,"optimal"
"I(gdppc.gap.ln_l^2)16","I(gdppc.gap.ln_l^2)",-0.228889000454273,0.0726424918223706,"optimal"
"(Intercept)8","(Intercept)",-18.589190292609,5.42360743765764,"nearest"
"gdppc.gap.ln_l8","gdppc.gap.ln_l",4.17903537903748,1.26504539144242,"nearest"
"I(gdppc.gap.ln_l^2)8","I(gdppc.gap.ln_l^2)",-0.240456281302158,0.0731344135617981,"nearest"
"(Intercept)17","(Intercept)",-19.1674751819351,5.43948655550833,"optimal"
"gdppc.gap.ln_l17","gdppc.gap.ln_l",4.31820076972537,1.26784299089256,"optimal"
"I(gdppc.gap.ln_l^2)17","I(gdppc.gap.ln_l^2)",-0.24868463384229,0.0732436782694847,"optimal"
"(Intercept)9","(Intercept)",-17.1777510248472,5.46420889204042,"nearest"
"gdppc.gap.ln_l9","gdppc.gap.ln_l",3.83319049509078,1.26935970924079,"nearest"
"I(gdppc.gap.ln_l^2)9","I(gdppc.gap.ln_l^2)",-0.219666418481715,0.0731027376209287,"nearest"
"(Intercept)18","(Intercept)",-17.5511878386402,5.51364137367904,"optimal"
"gdppc.gap.ln_l18","gdppc.gap.ln_l",3.92436879402055,1.28311310136603,"optimal"
"I(gdppc.gap.ln_l^2)18","I(gdppc.gap.ln_l^2)",-0.225135974877908,0.0740176278769556,"optimal"
"(Intercept)10","(Intercept)",-17.698869054343,5.4359303723478,"nearest"
"gdppc.gap.ln_l10","gdppc.gap.ln_l",3.96032111323362,1.26527582031993,"nearest"
"I(gdppc.gap.ln_l^2)10","I(gdppc.gap.ln_l^2)",-0.227277597766168,0.0730036863199933,"nearest"
"(Intercept)19","(Intercept)",-17.4746279610937,5.41742971166774,"optimal"
"gdppc.gap.ln_l19","gdppc.gap.ln_l",3.91142509757183,1.26167890578445,"optimal"
"I(gdppc.gap.ln_l^2)19","I(gdppc.gap.ln_l^2)",-0.224657958178038,0.0728402450190465,"optimal"
"(Intercept)20","(Intercept)",-18.9219009968433,5.39610354938986,"nearest"
"gdppc.gap.ln_l20","gdppc.gap.ln_l",4.23442843109484,1.26092610480672,"nearest"
"I(gdppc.gap.ln_l^2)20","I(gdppc.gap.ln_l^2)",-0.242387001286412,0.0730223944984086,"nearest"
"(Intercept)110","(Intercept)",-19.1798427407655,5.36570239132096,"optimal"
"gdppc.gap.ln_l110","gdppc.gap.ln_l",4.29614842221836,1.25363247014314,"optimal"
"I(gdppc.gap.ln_l^2)110","I(gdppc.gap.ln_l^2)",-0.246013400593174,0.0725919915889499,"optimal"
"(Intercept)21","(Intercept)",-16.6299538851516,5.49481112475953,"nearest"
"gdppc.gap.ln_l21","gdppc.gap.ln_l",3.69771459713475,1.28073372891012,"nearest"
"I(gdppc.gap.ln_l^2)21","I(gdppc.gap.ln_l^2)",-0.211455059107581,0.0739976378504014,"nearest"
"(Intercept)111","(Intercept)",-16.9830314130275,5.5707586918479,"optimal"
"gdppc.gap.ln_l111","gdppc.gap.ln_l",3.78498754583882,1.29971813351434,"optimal"
"I(gdppc.gap.ln_l^2)111","I(gdppc.gap.ln_l^2)",-0.216750455104248,0.0751600211856094,"optimal"
"(Intercept)22","(Intercept)",-16.9144436070708,5.40950901561818,"nearest"
"gdppc.gap.ln_l22","gdppc.gap.ln_l",3.76651029043922,1.25863754703711,"nearest"
"I(gdppc.gap.ln_l^2)22","I(gdppc.gap.ln_l^2)",-0.215537313077997,0.0725997643263964,"nearest"
"(Intercept)112","(Intercept)",-17.6396622018444,5.41145714141611,"optimal"
"gdppc.gap.ln_l112","gdppc.gap.ln_l",3.94373148557836,1.25906181643852,"optimal"
"I(gdppc.gap.ln_l^2)112","I(gdppc.gap.ln_l^2)",-0.226167716579265,0.0726203900612225,"optimal"
"(Intercept)23","(Intercept)",-17.9058042095261,5.38689176007545,"nearest"
"gdppc.gap.ln_l23","gdppc.gap.ln_l",4.0044101806447,1.25235720548303,"nearest"
"I(gdppc.gap.ln_l^2)23","I(gdppc.gap.ln_l^2)",-0.229573166184273,0.0721777668160632,"nearest"
"(Intercept)113","(Intercept)",-17.5018097468952,5.38921980302165,"optimal"
"gdppc.gap.ln_l113","gdppc.gap.ln_l",3.90970516426758,1.2553364692091,"optimal"
"I(gdppc.gap.ln_l^2)113","I(gdppc.gap.ln_l^2)",-0.224107250543638,0.0724903026413358,"optimal"
"(Intercept)24","(Intercept)",-17.3356033605112,5.42080341796763,"nearest"
"gdppc.gap.ln_l24","gdppc.gap.ln_l",3.87192862815894,1.26341280581313,"nearest"
"I(gdppc.gap.ln_l^2)24","I(gdppc.gap.ln_l^2)",-0.221998033207958,0.0729901771882652,"nearest"
"(Intercept)114","(Intercept)",-17.1835234581224,5.38523330726746,"optimal"
"gdppc.gap.ln_l114","gdppc.gap.ln_l",3.83768442113521,1.25521450213025,"optimal"
"I(gdppc.gap.ln_l^2)114","I(gdppc.gap.ln_l^2)",-0.220096289490638,0.0725271033268959,"optimal"
"(Intercept)25","(Intercept)",-17.0454588311301,5.5292959968593,"nearest"
"gdppc.gap.ln_l25","gdppc.gap.ln_l",3.81128686341919,1.28374687963947,"nearest"
"I(gdppc.gap.ln_l^2)25","I(gdppc.gap.ln_l^2)",-0.218913474612489,0.0738817399246343,"nearest"
"(Intercept)115","(Intercept)",-17.4823210072228,5.51536561298921,"optimal"
"gdppc.gap.ln_l115","gdppc.gap.ln_l",3.91914563678056,1.28067270675369,"optimal"
"I(gdppc.gap.ln_l^2)115","I(gdppc.gap.ln_l^2)",-0.225439682927478,0.0737144176106,"optimal"
"(Intercept)26","(Intercept)",-17.0697673084674,5.59707011531777,"nearest"
"gdppc.gap.ln_l26","gdppc.gap.ln_l",3.80165402039811,1.30525134590306,"nearest"
"I(gdppc.gap.ln_l^2)26","I(gdppc.gap.ln_l^2)",-0.217507637871185,0.0754418374606457,"nearest"
"(Intercept)116","(Intercept)",-17.3885932464623,5.58310582854477,"optimal"
"gdppc.gap.ln_l116","gdppc.gap.ln_l",3.87554616544855,1.30128524867524,"optimal"
"I(gdppc.gap.ln_l^2)116","I(gdppc.gap.ln_l^2)",-0.221724766498966,0.075172889291617,"optimal"
"(Intercept)27","(Intercept)",-16.2241069662857,5.43351171763931,"nearest"
"gdppc.gap.ln_l27","gdppc.gap.ln_l",3.60445031026298,1.26327083780258,"nearest"
"I(gdppc.gap.ln_l^2)27","I(gdppc.gap.ln_l^2)",-0.206171875150181,0.0728160000748835,"nearest"
"(Intercept)117","(Intercept)",-16.9448483773813,5.35674734254307,"optimal"
"gdppc.gap.ln_l117","gdppc.gap.ln_l",3.78147097953623,1.24547164850635,"optimal"
"I(gdppc.gap.ln_l^2)117","I(gdppc.gap.ln_l^2)",-0.216833790894009,0.0717968293553986,"optimal"
"(Intercept)28","(Intercept)",-16.8481463258049,5.44443375655181,"nearest"
"gdppc.gap.ln_l28","gdppc.gap.ln_l",3.76072603224286,1.26651823174693,"nearest"
"I(gdppc.gap.ln_l^2)28","I(gdppc.gap.ln_l^2)",-0.215751267739214,0.0730384187128703,"nearest"
"(Intercept)118","(Intercept)",-17.2772337595696,5.36255960190292,"optimal"
"gdppc.gap.ln_l118","gdppc.gap.ln_l",3.86547510070822,1.24798265388169,"optimal"
"I(gdppc.gap.ln_l^2)118","I(gdppc.gap.ln_l^2)",-0.222021402825944,0.0720044017046667,"optimal"
"(Intercept)29","(Intercept)",-17.459325400736,5.55121757778669,"nearest"
"gdppc.gap.ln_l29","gdppc.gap.ln_l",3.904960041854,1.29349112512745,"nearest"
"I(gdppc.gap.ln_l^2)29","I(gdppc.gap.ln_l^2)",-0.22413861932408,0.0747016427919546,"nearest"
"(Intercept)119","(Intercept)",-17.492346417417,5.62703077508051,"optimal"
"gdppc.gap.ln_l119","gdppc.gap.ln_l",3.91322243663381,1.31199102022516,"optimal"
"I(gdppc.gap.ln_l^2)119","I(gdppc.gap.ln_l^2)",-0.224650495894478,0.0758125367950187,"optimal"
"(Intercept)30","(Intercept)",-17.8609623244907,5.46983368005103,"nearest"
"gdppc.gap.ln_l30","gdppc.gap.ln_l",3.99121599197611,1.27311866245501,"nearest"
"I(gdppc.gap.ln_l^2)30","I(gdppc.gap.ln_l^2)",-0.228666730629636,0.0734503123897762,"nearest"
"(Intercept)120","(Intercept)",-18.1092036692192,5.46795015593602,"optimal"
"gdppc.gap.ln_l120","gdppc.gap.ln_l",4.05323913579588,1.27406831465944,"optimal"
"I(gdppc.gap.ln_l^2)120","I(gdppc.gap.ln_l^2)",-0.232459240509199,0.0735832399246255,"optimal"
"(Intercept)31","(Intercept)",-17.6269560576008,5.56145253967033,"nearest"
"gdppc.gap.ln_l31","gdppc.gap.ln_l",3.92684952111701,1.29853016319388,"nearest"
"I(gdppc.gap.ln_l^2)31","I(gdppc.gap.ln_l^2)",-0.224429054393993,0.0751398331116589,"nearest"
"(Intercept)121","(Intercept)",-18.0393001115906,5.56389276184918,"optimal"
"gdppc.gap.ln_l121","gdppc.gap.ln_l",4.0293092222206,1.29793547123418,"optimal"
"I(gdppc.gap.ln_l^2)121","I(gdppc.gap.ln_l^2)",-0.230667507241195,0.075038682465366,"optimal"
"(Intercept)32","(Intercept)",-16.4822993075777,5.49689155764111,"nearest"
"gdppc.gap.ln_l32","gdppc.gap.ln_l",3.67403918723267,1.28024920546082,"nearest"
"I(gdppc.gap.ln_l^2)32","I(gdppc.gap.ln_l^2)",-0.210693655764757,0.0739116097784173,"nearest"
"(Intercept)122","(Intercept)",-17.4266862097703,5.42613441649345,"optimal"
"gdppc.gap.ln_l122","gdppc.gap.ln_l",3.9023205844243,1.26391090147139,"optimal"
"I(gdppc.gap.ln_l^2)122","I(gdppc.gap.ln_l^2)",-0.224248787979812,0.0729771149087001,"optimal"
"(Intercept)33","(Intercept)",-17.4536526679227,5.57911989327694,"nearest"
"gdppc.gap.ln_l33","gdppc.gap.ln_l",3.89736878819086,1.30010767693795,"nearest"
"I(gdppc.gap.ln_l^2)33","I(gdppc.gap.ln_l^2)",-0.22335138670236,0.0750896718602152,"nearest"
"(Intercept)123","(Intercept)",-17.4919132250412,5.61034367870271,"optimal"
"gdppc.gap.ln_l123","gdppc.gap.ln_l",3.91141694185636,1.30829284602662,"optimal"
"I(gdppc.gap.ln_l^2)123","I(gdppc.gap.ln_l^2)",-0.224448308258271,0.0756113622234614,"optimal"
"(Intercept)34","(Intercept)",-17.7963626840111,5.44124771477871,"nearest"
"gdppc.gap.ln_l34","gdppc.gap.ln_l",3.96786850850955,1.26672328804039,"nearest"
"I(gdppc.gap.ln_l^2)34","I(gdppc.gap.ln_l^2)",-0.226860931862341,0.0730994343876091,"nearest"
"(Intercept)124","(Intercept)",-17.5120019917135,5.51646785044845,"optimal"
"gdppc.gap.ln_l124","gdppc.gap.ln_l",3.90165736682898,1.28597426918341,"optimal"
"I(gdppc.gap.ln_l^2)124","I(gdppc.gap.ln_l^2)",-0.223070444466749,0.0743048283524715,"optimal"
